target,source,flow
01F1621S,01F1621S,1974
01F1621S,01F1664S,1172
03F1710N,01F1725S,38
01F1621S,01F1839S,119
01F2089N,01F2089S,8
01F1123S,01F1906S,2
01F1465S,01F1906S,1
01F2156N,01F1774S,3
03F1128S,01F2322S,6
01F1572S,01F2156S,18
03F1022S,01F1960S,2
01F2089N,01F2156S,1
03F1710S,01F2322S,14
01F1572S,01F2089S,25
03F1332S,01F1802S,26
01F1292N,01F1725S,1
01F1839S,01F1839S,3117
03F0996S,01F1123S,80
01F1664S,01F1664S,6192
03F1128N,01F1123S,2
03F2066S,01F2322S,2
03F2261S,01F1960S,1
01F1664S,01F1839S,572
03F1860N,01F1045S,2
01F1292N,01F1123S,1
01F1774S,01F1802S,1068
01F1572N,01F1045S,1
01F2156S,01F2156S,1684
01F1725S,01F1906S,25
03F1128N,01F1725S,1
03F2614N,01F2089S,3
01F2483N,01F1960S,1
03F1051S,01F2011S,50
03F2100S,01F2156S,32
03F0996S,01F1725S,63
01F1389S,01F2322S,14
01F2866N,01F2249S,1
03F1128S,01F1802S,25
03F3743N,01F2249S,2
03F1779S,01F2011S,349
03F1739N,01F1045S,1
03F1051S,01F1774S,78
01F2089S,01F2156S,1380
01F1292S,01F1802S,75
03F1739S,01F2249S,3
03F2194S,01F2249S,29
01F2089N,01F1960S,2
03F1395S,01F1802S,4
03F1022S,01F2156S,1
01F1465N,01F1465S,2
01F1389S,01F1802S,564
01F3366N,01F1960S,1
01F1123S,01F1389S,246
03F1161N,01F1292S,2
01F2089S,01F2089S,2915
03F1992N,01F1774S,7
01F1774S,01F2322S,101
01F1572S,01F1960S,102
01F1802N,01F1774S,2
01F1802S,01F2011S,1553
01F1045S,01F1802S,12
03F1651N,01F1045S,2
03F1022S,01F2089S,1
03F2260N,01F2249S,14
01F3185N,01F1960S,2
03F2614N,01F1960S,3
01F1123S,01F1292S,858
03F1710S,01F1802S,1
03F1332S,01F2322S,7
03F1944S,01F2322S,33
03F2125N,01F1664S,2
03F1161N,01F1045S,6
03F1651S,01F1802S,352
01F2603N,01F1774S,1
01F1123S,01F1465S,384
01F1465S,01F1465S,1392
01F1465N,01F1045S,1
01F1664N,01F2089S,1
01F2249N,01F2249S,2
03F1051S,01F1725S,111
03F2066N,01F2156S,71
03F0996S,01F2011S,9
03F3854N,01F1960S,1
03F2100N,01F1960S,1210
01F1123S,01F1960S,111
01F1465S,01F1960S,52
03F1779N,01F2322S,1
03F1779S,01F2249S,78
03F1215S,01F1802S,56
01F1572S,01F1045S,1
01F3640N,01F1725S,1
03F1739S,01F2011S,7
03F1739N,01F1960S,11
03F1860N,01F2156S,1
03F4142N,01F1960S,1
03F3496N,01F1774S,2
01F1802S,01F2249S,532
01F1572N,01F1572S,1
03F3916N,01F2089S,1
03F2152S,01F2322S,32
03F2260N,01F2011S,3
03F1992N,01F1725S,9
01F1960N,01F1725S,5
01F1664N,01F2156S,1
03F2066N,01F2089S,101
01F2156N,01F2249S,1
01F1725S,01F1960S,675
01F1960S,01F1960S,1747
01F2011S,01F2322S,324
03F1257S,01F1802S,5
01F1045N,01F1664S,1
03F2100N,01F2089S,163
01F1725S,01F2156S,165
03F1860S,01F2322S,67
03F1992N,01F2249S,136
01F1960S,01F2156S,38
01F1802N,01F2249S,1
01F1664N,01F1960S,1
03F1215S,01F2322S,9
03F1779N,01F1802S,13
03F1051N,01F1664S,3
03F1710N,01F1774S,6
03F1051N,01F1839S,1
01F1906S,01F2322S,114
03F2079S,01F2156S,4
03F2129S,01F2322S,54
03F2336N,01F2322S,2
03F1051N,01F1621S,2
03F1485S,01F1839S,5
03F1485S,01F1664S,167
03F4021N,01F1960S,5
03F1860N,01F1960S,4
03F1651S,01F2322S,22
01F1123S,01F2089S,28
01F1465S,01F2089S,10
03F1257N,01F1045S,3
03F1633S,01F1839S,19
03F0996S,01F1774S,36
03F2079S,01F2089S,8
03F1257S,01F2322S,3
03F1651N,01F2156S,1
03F1633S,01F1664S,438
03F1022N,01F1664S,40
03F2535N,01F2249S,5
03F1022N,01F1839S,6
01F1572S,01F1906S,6
03F1739N,01F2089S,1
01F1123S,01F2156S,24
01F1465S,01F2156S,8
03F2415N,01F2322S,1
03F2100N,01F2156S,140
03F3854N,01F2156S,1
01F1725S,01F2089S,237
01F1960S,01F2089S,73
03F2066N,01F1960S,227
01F1465S,01F1572S,152
01F1123S,01F1572S,111
03F1051S,01F2249S,14
03F1022N,01F1621S,31
01F2249N,01F1725S,1
03F2153N,01F1664S,4
01F1725N,01F1802S,2
03F4232N,01F1960S,3
03F3916N,01F1960S,1
01F1292S,01F1572S,43
01F1774S,01F1960S,1352
01F1572S,01F2322S,9
03F1051S,01F1664S,40
03F1128S,01F2156S,16
03F1710S,01F2089S,26
03F1051S,01F1839S,4
03F2306N,01F1960S,7
01F2514N,01F1774S,1
03F2066S,01F2089S,11
03F1779N,01F1045S,1
03F1944S,01F1960S,360
01F1839S,01F2011S,1102
01F1045S,01F2089S,1
03F1395S,01F2156S,3
03F2078N,01F2156S,129
01F1664S,01F2011S,295
01F1292S,01F2156S,5
03F1161S,01F1774S,1
03F1332S,01F1960S,40
03F2447N,01F2089S,7
03F1633N,01F1045S,3
03F2614N,01F2322S,1
03F1022N,01F2249S,1
03F2535N,01F1664S,1
03F1633S,01F2249S,20
01F1389S,01F2089S,49
01F1621N,01F1960S,1
03F1395S,01F2089S,4
03F2078N,01F2089S,175
01F1292S,01F2089S,1
03F1485S,01F2249S,13
01F1621S,01F2011S,77
01F2156S,01F2322S,223
01F3696N,01F2156S,1
01F1389S,01F2156S,35
03F2125N,01F1774S,5
03F2100S,01F2322S,11
03F1651S,01F1906S,1
01F3126N,01F1839S,1
01F1774N,01F1960S,1
01F2249S,01F2322S,317
01F1045N,01F1725S,1
01F1045S,01F1572S,10
03F1128S,01F2089S,19
03F1710S,01F2156S,48
01F1960N,01F1839S,1
01F1389S,01F1572S,248
01F1960N,01F1664S,3
03F1992N,01F1664S,5
01F1906S,01F1906S,1264
03F2066S,01F2156S,8
03F1051N,01F1725S,7
01F1621S,01F1774S,1183
03F2125N,01F2011S,6
03F2306N,01F2089S,13
01F1389S,01F1465S,933
03F1215N,01F1292S,1
01F2156N,01F1664S,1
03F3187N,01F1960S,1
01F1045S,01F1465S,18
03F1710S,01F1960S,156
01F1774S,01F2089S,494
01F2089S,01F2322S,370
03F1022S,01F2322S,1
01F1389S,01F1960S,147
01F2394N,01F2322S,1
03F1051N,01F1123S,1
03F2066S,01F1465S,1
03F2231N,01F1774S,1
01F1802S,01F1839S,2276
03F1485S,01F1725S,323
01F1572S,01F1802S,390
03F2447N,01F1960S,6
03F1332S,01F2089S,11
03F1215N,01F1045S,1
01F1045S,01F1960S,2
03F1944S,01F2089S,132
03F1022N,01F1725S,131
03F1332S,01F2156S,15
01F2249N,01F1621S,1
03F2078N,01F1960S,677
01F1292S,01F1960S,23
03F1395S,01F1960S,6
03F1633S,01F1725S,946
03F1944S,01F2156S,106
03F2153N,01F1725S,3
03F2306N,01F2156S,7
01F2249N,01F1664S,1
01F1774S,01F2156S,412
03F1128S,01F1960S,49
01F1839S,01F1774S,1
03F1022N,01F1123S,112
01F1664S,01F1774S,4700
01F1292S,01F1465S,152
03F1161S,01F2011S,1
01F1292S,01F1292S,958
03F2415N,01F1960S,50
03F2125N,01F2249S,2
03F1779N,01F2156S,2
03F2840N,01F2249S,1
01F1774S,01F1906S,29
03F1485S,01F1774S,193
01F1725S,01F1802S,2450
03F2231N,01F1725S,2
03F1257S,01F1960S,16
03F2260N,01F1664S,1
01F2011N,01F1045S,1
03F2194N,01F2089S,3
03F2923N,01F2089S,2
03F1739N,01F1802S,14
03F2152S,01F2089S,228
03F1395N,01F1045S,2
03F2066N,01F2322S,13
01F1621S,01F1725S,1859
03F1710N,01F1664S,40
01F2011S,01F2089S,3175
01F1292S,01F1389S,107
03F1051N,01F1774S,18
01F1664S,01F1725S,5719
01F1465S,01F1802S,206
01F1123S,01F1802S,346
01F2514N,01F2249S,1
03F2923N,01F2156S,2
01F3286S,01F1960S,1
01F1389S,01F1389S,1165
03F2152S,01F2156S,117
03F1215S,01F1960S,76
01F1725N,01F1572S,1
03F1860S,01F1960S,765
01F1045S,01F1389S,11
03F0996S,01F1621S,10
01F1045S,01F1045S,1402
01F2011S,01F2156S,1918
03F1633S,01F1774S,556
03F0996S,01F1839S,2
01F1725N,01F2156S,1
03F1651S,01F1960S,231
03F0996S,01F1664S,23
03F1779N,01F2089S,2
01F1045S,01F1292S,49
03F1022N,01F1774S,90
01F1906S,01F1960S,2062
03F2336N,01F1960S,47
01F1906S,01F2156S,434
03F2129S,01F2156S,295
03F2336N,01F2156S,14
01F1774N,01F1045S,2
03F1257S,01F2089S,6
03F2153N,01F2011S,1
03F2066N,01F1802S,3
01F1389N,01F1389S,7
03F1161S,01F1725S,2
03F1651S,01F2156S,61
03F2415N,01F2089S,78
03F1739N,01F2322S,2
01F1725N,01F1960S,2
01F1389S,01F1906S,1
01F2011S,01F1960S,1
01F1664S,01F2249S,93
01F1839S,01F2249S,395
03F1860S,01F2156S,243
01F1725S,01F2322S,65
01F1960S,01F2322S,5
03F1215S,01F2156S,15
03F1633S,01F2011S,57
03F1022N,01F2011S,2
03F2194N,01F1960S,15
03F2923N,01F1960S,8
03F2100N,01F2322S,43
03F1485S,01F2011S,58
03F1860S,01F2089S,233
01F2156N,01F0950S,1
03F1215S,01F2089S,25
03F1860N,01F1802S,8
01F1045N,01F1774S,1
01F1621S,01F2249S,17
03F2125N,01F1725S,2
03F2129S,01F2089S,477
01F1906S,01F2089S,778
03F2336N,01F2089S,65
03F1257S,01F2156S,4
03F1051N,01F2011S,1
03F2231N,01F2249S,13
03F1651S,01F2089S,65
01F1123S,01F2322S,11
03F2415N,01F2156S,12
03F1779N,01F1960S,5
01F1465S,01F2322S,2
03F3211N,01F1960S,1
03F1633S,01F2322S,18
03F1860N,01F1774S,9
03F1257S,01F1839S,1
03F2614N,01F2249S,1
01F1725S,01F2011S,316
03F1739N,01F2011S,4
01F1572S,01F2249S,12
01F1123S,01F2011S,80
03F1215S,01F1664S,64
03F0996S,01F1465S,22
03F1128N,01F1465S,1
03F2100S,01F2249S,9
01F2156S,01F2249S,313
03F1257N,01F1123S,1
03F3743N,01F1960S,4
03F1651S,01F1664S,900
01F2394N,01F1725S,1
03F0996S,01F2156S,4
01F1725N,01F1664S,2
03F3670N,01F1960S,1
01F1123S,01F1774S,579
03F2260N,01F2089S,70
03F2194N,01F1664S,1
03F1161N,01F1774S,1
03F2923N,01F1664S,1
01F2089S,01F2249S,572
03F1739S,01F2156S,7
03F1022N,01F1802S,48
01F1802S,01F1906S,113
01F1725N,01F1621S,1
01F1725S,01F1774S,4210
03F1485S,01F1802S,96
03F1739S,01F2089S,2
01F1572S,01F1725S,917
03F0996S,01F2089S,6
03F1779N,01F1839S,2
01F3185N,01F1725S,1
03F2777N,01F1960S,4
03F1739N,01F1774S,41
01F1664N,01F2011S,3
03F2260N,01F2156S,38
01F2089N,01F1774S,1
01F1123S,01F1123S,2069
03F2066N,01F2249S,23
03F1051S,01F1960S,66
01F1774S,01F1664S,1
03F2235S,01F2156S,1
01F1621N,01F1621S,1
03F2100N,01F1725S,8
01F1465S,01F1725S,491
01F1664S,01F1802S,2759
01F1839S,01F1802S,1
01F1802S,01F2089S,1264
03F1161N,01F1123S,2
03F1332S,01F1664S,85
01F3640N,01F1960S,4
01F1839N,01F1960S,1
01F1802S,01F2156S,1021
01F1621S,01F1802S,756
01F1802N,01F1960S,1
03F1992N,01F1960S,2183
03F2125N,01F1802S,1
03F1710S,01F1839S,1
01F1960S,01F2249S,10
03F0996S,01F1389S,7
01F2156N,01F1960S,1
03F1128N,01F1389S,1
01F1045S,01F1839S,1
01F1292N,01F1045S,1
03F0996S,01F1292S,29
03F2535N,01F2089S,5
01F1389S,01F1839S,135
03F2079S,01F2249S,4
01F1465S,01F2249S,2
03F1779S,01F1960S,553
01F1292S,01F1839S,19
03F2231N,01F2322S,15
03F2535N,01F2156S,1
03F3101N,01F2089S,4
03F1128S,01F1664S,51
03F2066N,01F1725S,4
03F1395N,01F1621S,1
01F1960N,01F2089S,2
03F1161S,01F1802S,1
03F2100N,01F2249S,71
03F1022N,01F1572S,9
01F1123S,01F1621S,262
03F2125N,01F1045S,1
03F1651S,01F2011S,145
01F2322S,01F2322S,1369
03F2153N,01F2156S,1
03F1633S,01F2156S,28
01F1725N,01F1774S,2
03F1215S,01F2011S,52
03F2078N,01F2249S,61
01F1123S,01F1664S,316
03F1860S,01F2011S,483
01F1465S,01F1839S,61
03F1395S,01F2249S,3
03F1633S,01F2089S,35
01F1389S,01F2249S,22
03F1739N,01F1664S,404
01F1045S,01F2249S,1
03F1739N,01F1621S,1
01F2425N,01F1802S,1
03F1710S,01F2249S,23
03F2153N,01F2089S,2
03F1051N,01F1960S,5
01F1664N,01F1664S,26
03F1739S,01F2322S,1
03F1710S,01F1725S,19
03F1860N,01F1664S,35
01F1389S,01F1725S,1313
03F0996S,01F2322S,1
03F1485S,01F1960S,67
01F1045S,01F1725S,20
03F3307N,01F1960S,2
03F1944S,01F2249S,40
01F2011S,01F2011S,6086
03F1022N,01F1960S,4
01F1292S,01F1725S,167
03F2078N,01F1725S,5
03F2194N,01F2011S,3
01F2930N,01F1774S,1
03F1651S,01F1774S,833
03F1395S,01F1725S,19
03F2260N,01F2322S,4
03F1215S,01F1774S,109
01F1725N,01F2011S,3
01F3676N,01F1960S,1
03F2415N,01F1725S,6
01F1802N,01F1802S,8
01F1774N,01F2011S,2
03F2840N,01F2156S,1
01F3696N,01F1774S,1
03F1257S,01F1725S,35
03F1779N,01F2249S,1
03F1022N,01F1045S,382
01F1621S,01F1960S,126
01F1664S,01F1960S,537
03F1332S,01F2011S,23
01F1839S,01F1960S,3182
03F1128S,01F1774S,53
03F2152S,01F2249S,60
01F1621N,01F2011S,1
